touch_clk_pee2,        TOUCH,        RSVD1,        RSVD2,        RSVD3,         0x2000,        1
uart3_cts_pw5,        UARTC,        RSVD1,        RSVD2,        RSVD3,         0x2008,        1
uart3_rts_pw4,        UARTC,        RSVD1,        RSVD2,        RSVD3,        0x2010,        1
uart3_rx_pw3,        UARTC,        RSVD1,        RSVD2,        RSVD3,        0x2018,        1
uart3_tx_pw2,        UARTC,        RSVD1,        RSVD2,        RSVD3,        0x2020,        1
gen8_i2c_sda_pw1,        I2C8,        RSVD1,        RSVD2,        RSVD3,        0x2028,        1
gen8_i2c_scl_pw0,        I2C8,        RSVD1,        RSVD2,        RSVD3,        0x2030,        1
uart7_rx_pw7,        UARTG,        RSVD1,        RSVD2,        RSVD3,        0x2038,        1
uart7_tx_pw6,        UARTG,        RSVD1,        RSVD2,        RSVD3,        0x2040,        1
gpio_sen0_pv0,        RSVD0,        RSVD1,        RSVD2,        RSVD3,        0x2048,        1
gpio_sen1_pv1,        SPI2,        RSVD1,        RSVD2,        RSVD3,        0x2050,        1
gpio_sen2_pv2,        SPI2,        RSVD1,        RSVD2,        RSVD3,        0x2058,        1
gpio_sen3_pv3,        SPI2,        RSVD1,        RSVD2,        RSVD3,        0x2060,        1
gpio_sen4_pv4,        SPI2,        RSVD1,        RSVD2,        RSVD3,        0x2068,        1
gpio_sen5_pv5,        RSVD0,        RSVD1,        RSVD2,        RSVD3,        0x2070,        1
gpio_sen6_pv6,        RSVD0,        GP,        RSVD2,        RSVD3,        0x2078,        1
gpio_sen7_pv7,        RSVD0,        WDT,        RSVD2,        RSVD3,        0x2080,        1
gpio_sen8_pee0,        RSVD0,        I2C2,        RSVD2,        RSVD3,        0x2088,        1
gpio_sen9_pee1,        RSVD0,        I2C2,        RSVD2,        RSVD3,        0x2090,        1
can_gpio7_paa7,        RSVD0,        WDT,        RSVD2,        RSVD3,         0x3000,        1
can1_dout_pz0,        CAN1,        RSVD1,        RSVD2,        RSVD3,         0x3008,       1
can1_din_pz1,        CAN1,        RSVD1,        RSVD2,        RSVD3,        0x3010,        1
can0_dout_pz2,        CAN0,        RSVD1,        RSVD2,        RSVD3,        0x3018,        1
can0_din_pz3,        CAN0,        RSVD1,        RSVD2,        RSVD3,        0x3020,        1
can_gpio0_paa0,        RSVD0,        DMIC3,        DMIC5,        RSVD3,        0x3028,        1
